region,bg_code,berufsgruppe,median_entgelt
Baden-Württemberg,121,Gartenbau,3.382
Baden-Württemberg,221,"Kunststoff,Kautschukherstell.,verarbeit",3.260
Baden-Württemberg,231,Papier- und Verpackungstechnik,3.961
Baden-Württemberg,232,Technische Mediengestaltung,3.749
Baden-Württemberg,261,Mechatronik und Automatisierungstechnik,4.874
Baden-Württemberg,262,Energietechnik,4.579
Baden-Württemberg,263,Elektrotechnik,4.702
Baden-Württemberg,271,Technische Forschung und Entwicklung,7.412
Baden-Württemberg,273,"Technische Produktionsplanung,-steuerung",6.025
Baden-Württemberg,282,Textilverarbeitung,3.219
Baden-Württemberg,292,Lebensmittel- u. Genussmittelherstellung,3.123
Baden-Württemberg,311,"Bauplanung u. -überwachung, Architektur",5.658
Baden-Württemberg,411,Mathematik und Statistik,6.101
Baden-Württemberg,431,Informatik,6.370
Baden-Württemberg,432,"IT-Systemanalyse,Anwenderber,IT-Vertrieb",6.308
Baden-Württemberg,433,"IT-Netzwerkt.,-Koord.,-Administr.,-Orga.",6.076
Baden-Württemberg,434,Softwareentwicklung und Programmierung,6.571
Baden-Württemberg,513,"Lagerwirt.,Post,Zustellung,Güterumschlag",3.218
Baden-Württemberg,516,Kaufleute - Verkehr und Logistik,4.256
Baden-Württemberg,521,Fahrzeugführung im Straßenverkehr,3.258
Baden-Württemberg,525,Bau- und Transportgeräteführung,3.767
Baden-Württemberg,541,Reinigung,2.600
Baden-Württemberg,611,Einkauf und Vertrieb,5.753
Baden-Württemberg,612,Handel,4.163
Baden-Württemberg,621,Verkauf (ohne Produktspezialisierung),3.298
Baden-Württemberg,623,Verkauf von Lebensmitteln,2.496
Baden-Württemberg,632,Hotellerie,2.735
Baden-Württemberg,633,Gastronomie,2.557
Baden-Württemberg,634,"Veranstaltungsservice, -management",3.964
Baden-Württemberg,711,Geschäftsführung und Vorstand,7.550
Baden-Württemberg,713,Unternehmensorganisation und -strategie,6.190
Baden-Württemberg,714,Büro und Sekretariat,4.022
Baden-Württemberg,715,Personalwesen und -dienstleistung,5.235
Baden-Württemberg,721,Versicherungs- u. Finanzdienstleistungen,5.590
Baden-Württemberg,722,"Rechnungswesen, Controlling und Revision",5.539
Baden-Württemberg,723,Steuerberatung,4.191
Baden-Württemberg,732,Verwaltung,4.388
Baden-Württemberg,733,Medien-Dokumentations-Informationsdienst,4.558
Baden-Württemberg,811,Arzt- und Praxishilfe,3.043
