id,titel,beruf,arbeitgeber,eintrittsdatum,aktuelleVeroeffentlichungsdatum,ort,region,plz,land
12265-500563_JB5112036-S,Data Engineer (m/w/d),Data Engineer,FERCHAU GmbH Niederlassung Bielefeld,2026-04-01,2026-04-01,Bielefeld,Nordrhein-Westfalen,33602,Deutschland
12265-500191_JB5110630-S,Data Engineer (m/w/d),Data Engineer,FERCHAU GmbH Niederlassung Rosenheim,2026-04-01,2026-03-31,"Engelsberg, Oberbayern",Bayern,84549,Deutschland
12117-28699084-YF-S,Data Engineer (m/w/d),Data Engineer,BTB Blockheizkraftwerks- Träger- und Betreibergesellschaft mbH Berlin,2026-04-01,2026-04-01,Berlin,Berlin,10585,Deutschland
11119-4762322522-S,Data Analyst (m/w/d),Data-Analyst/in,Randstad Professional,2026-04-01,2026-03-31,Frankfurt am Main,Hessen,65929,Deutschland
14927-aqxxfm-S,Data Engineer (m/w/d),Data Scientist,Bartels-Langness Handelsgesellschaft mbH & Co. KG,2026-03-31,2026-03-31,Kiel,Schleswig-Holstein,24116,Deutschland
12634-BB-639320-7878-2341-S,Data Scientist (m/w/d),Data Scientist,Akkodis Germany Tech Experts GmbH,2026-03-26,2026-03-26,Leipzig,Sachsen,04105,Deutschland
14225-1d22a8038537e450-S,Data Engineer (m/w/d),Data Engineer,Riverty Group GmbH,2026-04-02,2026-04-01,Berlin,Berlin,10623,Deutschland
16576-2026tmi3utx9-000-S,Data Engineer (m/w/d),Data Engineer,Bergfreunde GmbH,2026-06-01,2026-03-20,Kirchentellinsfurt,Baden-Württemberg,72138,Deutschland
10001-1002773766-S,Data Engineer (m/w/d),Data Engineer,Sebastian Hennig,2026-03-16,2026-03-16,Schweinfurt,Bayern,Unbekannt,Deutschland
10001-1002762273-S,Data Analyst (m/w/d),Data-Analyst/in,Kiesel GmbH,2026-03-13,2026-03-13,Baienfurt,Baden-Württemberg,88255,Deutschland
10001-1002762256-S,Data Analyst (m/w/d),Data-Analyst/in,Kiesel GmbH,2026-03-13,2026-03-13,Stockstadt am Rhein,Hessen,64589,Deutschland
12265-350002_JB5094163-S,Data Engineer (m/w/d),Data Engineer,FERCHAU GmbH Niederlassung Osnabrück,2026-04-01,2026-03-13,Osnabrück,Niedersachsen,49080,Deutschland
14820-0063505219-S,Data Scientist (m/w/d),Data Scientist,adp Merkur GmbH,2026-03-23,2026-03-13,"Lübbecke, Westfalen",Nordrhein-Westfalen,32312,Deutschland
16818-100829750-S,Data Engineer (m/w/d),Data Engineer,Siemens Betriebskrankenkasse (SBK),2026-04-25,2026-03-25,München,Bayern,80339,Deutschland
12265-470077_JB5091101-S,Data Engineer (m/w/d),Data Engineer,FERCHAU GmbH Niederlassung Köln,2026-04-01,2026-03-10,Köln,Nordrhein-Westfalen,50829,Deutschland
16071-44029493-311-S,Data Engineer (w/m/d),Data Engineer,TÜV SÜD AG,2026-03-12,2026-03-12,München,Bayern,80686,Deutschland
12265-490060_JB5090582-S,Data Engineer (m/w/d),Data Engineer,FERCHAU GmbH Niederlassung Rosenheim,2026-04-01,2026-03-10,"Siegsdorf, Oberbayern",Bayern,83313,Deutschland
12444-563465371723973-S,Data Scientist (m/w/d),Data Scientist,Deutsche Telekom AG,2026-03-13,2026-03-08,"Münster, Westfalen",Nordrhein-Westfalen,48155,Deutschland
16170-3084637_3965224-S,Data Manager (m/w/d),Data-Analyst/in,Franziskuswerk Schönbrunn gGmbH für Menschen mit Behinderung,2026-04-01,2026-03-06,"Röhrmoos, Kreis Dachau",Bayern,85244,Deutschland
10001-1002830777-S,Data Analyst (m/w/d),Data-Analyst/in,Chemnitzer Verlag und Druck GmbH & Co.KG,2026-03-26,2026-03-26,"Chemnitz, Sachsen",Sachsen,09111,Deutschland
13635-9a164e17_JB5104610-S,Data Engineer (m/w/d),Data Engineer,SKOPOS GROUP,2026-03-23,2026-03-23,"Hürth, Rheinland",Nordrhein-Westfalen,50354,Deutschland
12162-IPT1R8NRM1W9ZPQU-S,Data & Application Manager (m/w/d),Data Engineer,AKTIV Personal-Service GmbH NL Mainz,2026-03-17,2026-03-17,Ingelheim am Rhein,Rheinland-Pfalz,55218,Deutschland
15220-2026-14235-S,#14235 Data Architect (m/w/d),Data Engineer,Constaff GmbH,2026-04-01,2026-04-01,Remscheid,Nordrhein-Westfalen,Unbekannt,Deutschland
14225-8a2294c6b7669598-S,Data Scientist (m/w/d),Data Scientist,Handwerkskammer Wiesbaden,2026-04-01,2026-03-19,Wiesbaden,Hessen,65189,Deutschland
17338-178f33260017a544b6-S,Data Engineers (w/m/d),Data Engineer,drjve AG,2026-03-19,2026-03-19,Köln,Nordrhein-Westfalen,50670,Deutschland
19384-926324854-S,Data Scientist (m/w/d),Data Scientist,Noweda Apothekergenossenschaft eG,2026-04-01,2026-02-17,"Essen, Ruhr",Nordrhein-Westfalen,45143,Deutschland
14470-44073430-331-S,Data Scientist (m/w/d) im Reportingbereich,Data Scientist,Körber AG,2026-04-01,2026-04-01,Markt Schwaben,Bayern,85570,Deutschland
13319-865956/1_603008LS-S,Data Engineer (m/w/d),Data Scientist,Hays Professional Solutions GmbH,2026-04-01,2026-03-18,Münster (Hessen),Hessen,64839,Deutschland
12781-16158378-KAL-S,Data Engineer (m/w/d),Data Engineer,taod Consulting GmbH,2026-03-18,2026-03-18,Köln,Nordrhein-Westfalen,50667,Deutschland
19813-BB-499667-7878-6824-S,Data Analyst (m/w/d),Data Scientist,Galileo Global Education Germa ny GmbH,2026-04-01,2026-02-18,München,Bayern,80335,Deutschland
16526-f069904698e1a1e0-S,Data Engineer (m/w/d),Data Engineer,ISS Facility Services Holding GmbH Düsseldorf,2026-03-03,2026-01-29,Erfurt,Thüringen,Unbekannt,Deutschland
16526-e7236d56a3d8cceb-S,Data Engineer (m/w/d),Data Engineer,ISS Facility Services Holding GmbH Düsseldorf,2026-03-03,2026-01-29,Düsseldorf,Nordrhein-Westfalen,Unbekannt,Deutschland
16526-af1ca91fa6aace89-S,Data Engineer (m/w/d),Data Engineer,ISS Facility Services Holding GmbH Düsseldorf,2026-03-03,2026-01-29,Köln,Nordrhein-Westfalen,Unbekannt,Deutschland
16526-ac7d0b547f2e8d8e-S,Data Engineer (m/w/d),Data Engineer,ISS Facility Services Holding GmbH Düsseldorf,2026-03-03,2026-01-29,Hamburg,Hamburg,Unbekannt,Deutschland
16526-8254ee6cfe41b918-S,Data Engineer (m/w/d),Data Engineer,ISS Facility Services Holding GmbH Düsseldorf,2026-03-03,2026-01-29,Dresden,Sachsen,Unbekannt,Deutschland
16526-80ca7879ebd145b1-S,Data Engineer (m/w/d),Data Engineer,ISS Facility Services Holding GmbH Düsseldorf,2026-03-03,2026-01-29,Mannheim,Baden-Württemberg,Unbekannt,Deutschland
16526-805acee69d4e2fa9-S,Data Engineer (m/w/d),Data Engineer,ISS Facility Services Holding GmbH Düsseldorf,2026-03-03,2026-01-29,Frankfurt am Main,Hessen,Unbekannt,Deutschland
16526-1b6751fdfe4bdbf6-S,Data Engineer (m/w/d),Data Engineer,ISS Facility Services Holding GmbH Düsseldorf,2026-03-03,2026-01-29,Stuttgart,Baden-Württemberg,Unbekannt,Deutschland
16526-0d3a62c17aab6309-S,Data Engineer (m/w/d),Data Engineer,ISS Facility Services Holding GmbH Düsseldorf,2026-03-03,2026-01-29,Berlin,Berlin,Unbekannt,Deutschland
16526-09f61f8b893d08c7-S,Data Engineer (m/w/d),Data Engineer,ISS Facility Services Holding GmbH Düsseldorf,2026-03-03,2026-01-29,München,Bayern,Unbekannt,Deutschland
12265-294814_JB5100723-S,Data Analyst (m/w/d),Data Scientist,FERCHAU GmbH Niederlassung Rostock,2026-04-01,2026-03-20,Rostock,Mecklenburg-Vorpommern,18057,Deutschland
10000-1205331810-S,Data Scientist m/w/d,Data Scientist,Miele & Cie. KG Werk Gütersloh,2026-03-11,2026-02-02,Gütersloh,Nordrhein-Westfalen,Unbekannt,Deutschland
13410-k13572.15520-S,Data Analyst (m/w/d),Projektingenieur/in,Guldberg GmbH,2026-04-02,2026-04-01,Weeze,Nordrhein-Westfalen,47652,Deutschland
15639-439499567-S,Data Engineer (m/w/d),Data Engineer,Zeppelin GmbH,2026-02-01,2026-01-20,Garching bei München,Bayern,85748,Deutschland
13635-8cd71df6_JB5094893-S,Data Analyst (m/w/d),Data-Analyst/in,ICS GmbH International Concert Service,2026-03-16,2026-03-13,"Kassel, Hessen",Hessen,34117,Deutschland
14820-0061013762-S,Data Architect (m/w/d),Data Engineer,MERKUR.COM AG,2026-02-23,2025-11-24,Espelkamp,Nordrhein-Westfalen,32339,Deutschland
16856-0061885109-S,Data Analyst (w/m/d),Data-Analyst/in,KIND GmbH & Co. KG,2026-03-30,2026-01-06,Burgwedel,Niedersachsen,30938,Deutschland
15170-441068742-S,Data Engineer (w/m/d),Data Scientist,Siemens Energy Global GmbH & Co. KG,2026-04-01,2026-01-29,Berlin,Berlin,10553,Deutschland
10000-1205561460-S,Data Scientist (m/w/d),Data Scientist,ERGO Group AG,2026-03-19,2026-02-19,München,Bayern,Unbekannt,Deutschland
11119-4742561271-S,Data Engineer (m/w/d),Data Engineer,Randstad Professional,2026-04-02,2026-03-06,Mannheim,Baden-Württemberg,68159,Deutschland
10000-1202147690-S,Data Analyst (m/w/d),Data-Analyst/in,KOSATEC Empowering Global Innovation GmbH,2026-03-23,2025-04-07,Braunschweig,Niedersachsen,38112,Deutschland
10000-1197398915-S,Data Engineer (m/w/d),Data Engineer,Bartels-Langness Handels GmbH & CoKG,2026-04-02,2025-01-24,Kiel,Schleswig-Holstein,24116,Deutschland
10000-1185445644-S,Data Scientist (m/w/d),Data Scientist,Lantenhammer Consulting,2025-09-24,2021-08-27,München,Bayern,Unbekannt,Deutschland
10001-1002632603-S,Data-Analyst (m/w/d),Data-Analyst/in,Dipl.-Ing. Gennadi Rouditser D.I.R.A. Arbeitsvermittlung & Unternehmensberatung,2026-03-21,2026-02-19,Berlin,Berlin,13629,Deutschland
12117-28744541-YF-S,Senior Data Scientist (m/w/d),Data Scientist,SSI Schäfer Automation GmbH,2026-04-01,2026-04-01,Giebelstadt,Bayern,97232,Deutschland
14068-k18924.2213-S,Data & Analytics Manager (m/w/d),Data Engineer,plusYou GmbH,2026-03-30,2026-03-29,Hamburg,Hamburg,Unbekannt,Deutschland
10001-1002678126-S,Data Scientist (m/w/d),Data Scientist,Peagle GmbH,2026-03-30,2026-02-27,"Augsburg, Bayern",Bayern,Unbekannt,Deutschland
12117-28741214-YF-S,Data Specialist (m/w/d),Informationsmanager/in,Sievert SE,2026-04-01,2026-04-01,Osnabrück,Niedersachsen,49074,Deutschland
13635-baf96a25_JB5111618-S,Principal Data Engineer (m/w/d),Data Engineer,Alexander Thamm GmbH,2026-03-31,2026-03-31,"Berlingen, Eifel",Rheinland-Pfalz,54570,Deutschland
13635-a1b61698_JB5111615-S,Principal Data Scientist (m/w/d),Data Scientist,Alexander Thamm GmbH,2026-03-31,2026-03-31,Frankfurt am Main,Hessen,65936,Deutschland
13635-c9951d84_JB5110783-S,Werkstudent Data Scientist (m/w/d),Data Scientist,snapAddy GmbH,2026-03-31,2026-03-31,Würzburg,Bayern,97070,Deutschland
13319-867514/1_604282LS-S, Data Scientist (m/f/d),Data Scientist,Hays Professional Solutions GmbH,2026-03-27,2026-03-27,Penzberg,Bayern,82377,Deutschland
14225-e243b5c06b3b4eae-S,Data Scientist (m/w/d),Data Engineer,TeCreation GmbH,2026-04-01,2026-03-17,Euskirchen,Nordrhein-Westfalen,53879,Deutschland
14225-4d4b4313d5f493e9-S,Data Scientist (m/w/d),Data Engineer,TeCreation GmbH,2026-04-01,2026-03-17,"Sinsheim, Elsenz",Baden-Württemberg,74889,Deutschland
14751-417A5984-S,Data Analyst (m/w/d),Data-Analyst/in,"Orizon GmbH, Unit Aviation",2026-03-20,2026-03-17,Weeze,Nordrhein-Westfalen,47652,Deutschland
10001-1002144618-S,Data Engineer (m/w/d),Data Engineer,Ashampoo GmbH & Co. KG,2026-03-30,2025-11-13,Rastede,Niedersachsen,26180,Deutschland
13635-3300cd6a_JB5110423-S,Senior Data Scientist (m/w/d),Data Scientist,Alexander Thamm GmbH,2026-03-30,2026-03-30,"Essenbach, Niederbayern",Bayern,84051,Deutschland
13635-js_bc_81_JB5110299-S,Data Scientist / Data Engineer (m/w/d),Data Scientist,Franz Kessler GmbH,2026-03-30,2026-03-30,Bad Buchau,Baden-Württemberg,88422,Deutschland
16604-955060-008-S,Data und Tools Expert (m/w/d),Data Engineer,TKMS GmbH,2026-04-01,2026-03-26,Kiel,Schleswig-Holstein,24143,Deutschland
12265-495334_JB5103946-S,Senior Data Engineer (m/w/d),Data Engineer,FERCHAU GmbH Niederlassung Oldenburg,2026-04-01,2026-03-23,Lemwerder,Niedersachsen,27809,Deutschland
12608-1388924-28033-1-S,Data Product Engineer (m/w/d),Data Engineer,REWE Group,2026-03-27,2026-03-26,Köln,Nordrhein-Westfalen,50933,Deutschland
10000-1183204711-S,Data Engineer,Data Engineer,alfatraining Bildungszentrum GmbH,2026-04-13,2025-02-10,"Ulm, Donau",Baden-Württemberg,89077,Deutschland
10000-1183204759-S,Data Engineer,Data Engineer,alfatraining Bildungszentrum GmbH,2026-04-13,2025-02-10,Düsseldorf,Nordrhein-Westfalen,40210,Deutschland
14225-357ae6b3439f5ae8-S,Data Engineer (m/w/d),Informatiker/in,Riverty Group GmbH,2026-04-02,2026-04-01,Berlin,Berlin,10623,Deutschland
12518-YTQCXZ-AK1-S,Data Entry (m/w/d),Sachbearbeiter/in - Einkauf,Movie Park Germany GmbH,2026-04-01,2026-04-01,Bottrop,Nordrhein-Westfalen,46244,Deutschland
12518-C2OS5X-KJ3-S,Data Analyst (m/w/d),Business-Analyst/in,AIDA Cruises,2026-04-01,2026-04-01,Rostock,Mecklenburg-Vorpommern,18055,Deutschland
14225-74ba3b4fb6ae7711-S,Data Scientist (m/w/d),Statistiker/in,Medizinische Hochschule Brandenburg Campus GmbH,2026-04-01,2026-03-16,Neuruppin,Brandenburg,16816,Deutschland
10001-1002804574-S,Data Analyst Waffensystemdaten (m/w/d),Data-Analyst/in,IABG Industrieanlagen Betriebs-GmbH,2026-03-30,2026-03-20,Bonn,Nordrhein-Westfalen,Unbekannt,Deutschland
10001-1002616378-S,Data Scientist (m/w/d),Data Scientist,team SE,2026-02-17,2026-02-17,Flensburg,Schleswig-Holstein,24941,Deutschland
10001-1002827575-S,Bioinformatics Data Analyst (m/w/d),Data-Analyst/in,CeGat GmbH,2026-03-26,2026-03-25,Tübingen,Baden-Württemberg,72076,Deutschland
10000-1205998884-S,DATA ANALYST / DATA SCIENTIST (W/M/D,Data Scientist,DVSE GmbH,2026-03-27,2026-03-27,Bargteheide,Schleswig-Holstein,22941,Deutschland
10000-1205211041-S,Data Scientist (w/m/d),Data Scientist,HUK-COBURG VVaG,2026-03-27,2026-01-22,Coburg,Bayern,96450,Deutschland
14225-9ab16dc106bd3077-S,Data Scientist (m/w/d),Informatiker/in,Forschungszentrum Jülich GmbH,2026-04-01,2026-03-31,Jülich,Nordrhein-Westfalen,52428,Deutschland
19376-44040709-316-S,Data Engineer - Schwerpunkt Automatisierung,Data Scientist,HDI AG,2026-03-27,2026-03-17,Hilden,Nordrhein-Westfalen,40721,Deutschland
12265-485710_JB5097480-S,Big Data Engineer (m/w/d),Data Engineer,FERCHAU GmbH Niederlassung Leipzig,2026-04-01,2026-03-17,Leipzig,Sachsen,04109,Deutschland
10001-1002761090-S,Data Analyst / Data Scientist (m/w/d),Data-Analyst/in,Heurich GmbH & Co. KG,2026-03-25,2026-03-13,"Petersberg, Kreis Fulda",Hessen,36100,Deutschland
13635-c79eef02_JB5106537-S,Werkstudent Data Analytics (m/w/d),Data-Analyst/in,auxmoney,2026-03-26,2026-03-26,Düsseldorf,Nordrhein-Westfalen,40213,Deutschland
10001-1002819588-S,Operativer Data Manager (m/w/d),Data-Analyst/in,Bund-Verlag GmbH,2026-03-26,2026-03-24,Frankfurt am Main,Hessen,60439,Deutschland
10001-1002729617-S,Customer Data Engineer (w/m/d),Data Engineer,Maingau Energie GmbH,2026-03-09,2026-03-09,Obertshausen,Hessen,63179,Deutschland
14470-44073434-331-S,Werkstudent (m/w/d) Data Analyst im Reportingbereich,Data Scientist,Körber AG,2026-04-01,2026-04-01,Markt Schwaben,Bayern,85570,Deutschland
10001-1002779892-S,Manager Data & Analytics (m/w/d),Data-Analyst/in,AURELIUS Beteiligungsberatungs AG,2026-03-23,2026-03-17,Unbekannt,Unbekannt,Unbekannt,Deutschland
10000-1201827806-S,Data Scientist (w/m/d),Informatiker/in,PSI Technics GmbH,2026-04-01,2025-03-06,"Winningen, Mosel",Rheinland-Pfalz,56333,Deutschland
13660-44039934-316-S,(Senior) Data Analyst (m/w/d),Data Engineer,Riverty,2026-03-24,2026-03-17,Dortmund,Nordrhein-Westfalen,44369,Deutschland
10001-1002838757-S,Data Governance Manager (m/w/d),Data Engineer,team SE,2026-03-27,2026-03-27,Flensburg,Schleswig-Holstein,24941,Deutschland
13635-b102b16f_JB5105889-S,Werkstudent (m/w/d) Data Operations,Data Scientist,Autorola GmbH,2026-03-25,2026-03-25,Hamburg,Hamburg,22761,Deutschland
16818-100803508-S,Praktikum Data Analyst (m/w/d),Data Scientist,doubleSlash Net-Business GmbH,2026-04-25,2026-03-25,Friedrichshafen,Baden-Württemberg,88046,Deutschland
10000-1205206410-S,Data Engineer (w/m/d),Data Scientist,HUK-COBURG VVaG,2026-03-27,2026-01-22,Coburg,Bayern,96450,Deutschland
12601-11840-1761638-0-S,Senior Data Engineer (m/w/d),Data Engineer,LZ Informatik,2026-03-21,2026-03-20,"Nürnberg, Mittelfranken",Bayern,90402,Deutschland
10001-1002825823-S,Data Steward Forschungsdaten (m/w/d),Informationswissenschaftler/in,Technische Universität Dresden Arbeitsstätte Dresden,2026-03-26,2026-03-25,Dresden,Sachsen,01069,Deutschland
13319-832962/1_604188LS-S,Data and Application Manager (m/w/d),Data Scientist,Hays Professional Solutions GmbH,2026-03-27,2026-03-27,Mainz am Rhein,Rheinland-Pfalz,Unbekannt,Deutschland
13657-937059068-S,Head of Data Platform Engineering (m/w/d),Data Engineer,OBI GmbH & Co. Deutschland KG,2026-05-01,2026-04-01,Köln,Nordrhein-Westfalen,51063,Deutschland
13433-QIXFJMHGBZQJNYIS-S,Data Manager (m/w/d) Großprojekte,Data Engineer,Da Vinci Engineering GmbH,2026-03-17,2026-03-07,Stuttgart,Baden-Württemberg,70178,Deutschland
10001-1002755767-S,Werkstudent Data & Analytics (m/w/d),Data Scientist,crossnative GmbH,2026-03-12,2026-03-12,Hamburg,Hamburg,22301,Deutschland
10001-1002717711-S,Data Architect (m/w/d),Information-Architect,FISHBULL Franz Fischer SE & Co. KG,2026-03-16,2026-03-06,Neustadt bei Coburg,Bayern,96465,Deutschland
12362-TR-282889_604619LS-S,Senior Biostatistician / Data Scientist (w/m/d),Data Scientist,Brunel GmbH NL Mannheim,2026-03-31,2026-03-31,Mannheim,Baden-Württemberg,68159,Deutschland
13319-854939/1_604483LS-S,Data Scientist mit Schwerpunkt Google Cloud (m/w/d),Data Scientist,Hays Professional Solutions GmbH,2026-03-31,2026-03-31,Düsseldorf,Nordrhein-Westfalen,Unbekannt,Deutschland
19597-15828067-S,Data Analytics Trainer:in (m/w/d),Data-Analyst/in,BBQ - Baumann Bildung und Qualifizierung GmbH,2026-03-25,2026-03-10,Berlin,Berlin,10585,Deutschland
15939-BB-633097-7878-9999-S,Data Analyst im Marineschiffbau (m/w/d),Data Scientist,Rheinmetall AG,2026-03-18,2026-03-18,Bremen,Bremen,28759,Deutschland
10001-1002792377-S,Controller / Data Analyst (m/w/d),Data-Analyst/in,CHEFS CULINAR Süd GmbH & Co. K G,2026-03-26,2026-03-19,Pilsach,Bayern,92367,Deutschland
16585-k26155.1539-S,Data Architect (m/w/d),Data-Warehouse-Analyst/in,Windhoff Software Services GmbH,2026-03-11,2025-08-25,Gescher,Nordrhein-Westfalen,48712,Deutschland
10001-1002652434-S,IT Data Architect (m/w/d),Data Engineer,GALDERMA LABORATORIUM GMBH,2026-03-13,2026-02-23,Düsseldorf,Nordrhein-Westfalen,40211,Deutschland
12265-491680_JB5103455-S,Senior Data Analyst (m/w/d),Data-Analyst/in,FERCHAU GmbH Vertriebsstützpunkt Greifswald,2026-04-01,2026-03-23,"Greifswald, Hansestadt",Mecklenburg-Vorpommern,17489,Deutschland
10001-1002526832-S,Customer Data Engineer (w/m/d),Data Engineer,Maingau Energie GmbH,2026-03-09,2026-02-02,Obertshausen,Hessen,63179,Deutschland
11119-4753394871-S,Data Analyst (d/m/w),Data-Analyst/in,DEKRA Arbeit GmbH,2026-04-01,2026-03-19,Hamburg,Hamburg,22335,Deutschland
12601-11761-1752338-0-S,Senior Data Engineer (m/w/d),Data Engineer,LZ Informatik,2026-03-21,2026-02-09,"Nürnberg, Mittelfranken",Bayern,90402,Deutschland
12098-13702950-S,Senior Data Engineer (m/w/d),Data Engineer,TEMPTON Next Level Experts GmbH,2026-03-24,2026-03-24,Hamburg,Hamburg,20099,Deutschland
12781-16092796-KAL-S,Data Engineer / Datenbankentwickler (m/w/d),Data Engineer,inpraxi GmbH & Co. KG,2026-03-18,2026-03-18,Osnabrück,Niedersachsen,49076,Deutschland
12781-16073080-KAL-S,Controller (m/w/d) Big Data,Data Scientist,Prodinger Organisation GmbH & Co. KG,2026-03-18,2026-03-18,Rödental,Bayern,96472,Deutschland
